userID,password,role,name,email,phoneNumber,moduleID,forceChange
A002,b8698fb143dd2c1d81bff03e0c02a2603353ef5e2f4f3f0723eed5df36cb2afe,Admin,Hanbin,hanbin@yahoo.com,0215489656,NA,true
L001,81ce904c440ae32e7fcefbc297b2fecde084dd9b12b5dc179c13463392454050,Lecturer,Zhang Hao,hao@gmail.com,0215998656,NA,true
A004,2448412937e9e8540d3e8650bf1701bdedd57a1dc6572a249d3d8fce8e32a528,Admin,Han Yujin,yujin@yahoo.com,0215896589,NA,true
AL001,0277c91941bd347b5600dcdf8e032b12709d0468b0d19acee5876935cebfb727,AcademicLeader,Jiwoong,jw@yahoo.com,0215986532,NA,true
A003,f81dff4f3b92b678b559723e597fad903e264809b77ef9bf78f6ef47d6de0aab,Admin,Matthew,matthew@gmail.com,0125689653,NA,true
A005,d10ffd5059deabaf79f8fb3f5b205bb338521c769a155239dd8227b75e091660,Admin,CarrieYyy,carrieyyy@gmail.com,0166666666,NA,false
AL002,2357a63d6fc7e52fe73ea400c9e094224beca34a7f551f87e3e272950bd84d6e,AcademicLeader,Ricky,ricky@gmail.com,0215468952,NA,true
L01,123,Lecturer,john,john&may@gmail.com,0127355913asda,M001,false
L02,123,Lecturer,sam,sam&may@gmail.com,0127355913,M002,false
L03,123,Lecturer,lucas,lucas&may@gmail.com,0127355913,M001,false
L04,samantha,Lecturer,samantha,samantha&may@gmail.com,0127355913,M004,false
L05,cindy,Lecturer,cindy,cindy&may@gmail.com,0127355913,M005,false
L06,syuan,Lecturer,syuan,syuan&may@gmail.com,0127355913,M006,false
L07,xinyun,Lecturer,xinyun,xinyun&may@gmail.com,0127355913,M007,false
L08,ying,Lecturer,ying,ying&may@gmail.com,0127355913,M008,false
L09,hao,Lecturer,hao,hao&may@gmail.com,0127355913,M009,false
L010,zhenkang,Lecturer,zhenkang,zhenkang&may@gmail.com,0127355913,M010,false
S01,123,Student,zhenkang,zhenkang&may@gmail.com,01273551231,M002,false
S02,123,Student,aliyah,aliyah02@gmail.com,0123456789,M002,false
S03,123,Student,daniel,daniel22@gmail.com,0112345678,M002,false
S04,123,Student,amir,amir04@gmail.com,0198765432,M002,false
S05,123,Student,siti,ssiti21@gmail.com,0182233445,M001,false
S06,123,Student,faris,faris23@gmail.com,0179988776,M002,false
S07,123,Student,nabila,nabila07@gmail.com,0165566778,M003,false
S08,123,Student,hakim,hakim24@gmail.com,0134455667,M001,false
L013,123,Lecturer,Aisyah,aisyah22@gmail.com,0147788990,NA,false
S011,123,Student,Irfan,irfan19@gmail.com,0156677889,NA,false
AL003,33b0440d49cf9be91761fd86bb2c41f255762dcacf8e7b0a20b3f4bd24c6722c,AcademicLeader,Gunwook,gunwook@gmail.com,0125489862,NA,true
L012,fc627d98d6d9e578db4baf3dfba4dca966e3c8ac6bb7cedee56beee1cfd4cdb8,Lecturer,Zz,zz@yahoo.com,0124589653,NA,true
S010,af89ccd5ac0de2b04b8f251ecf595e8bfdb351598486c1704314268995314cd1,Student,Cc,cc@gmail.com,0124589656,NA,true
